[250,10] Rep: 1;0,5
[250,10] Rep: 2;0,5
[250,10] Rep: 3;0,5
[250,20] Rep: 1;0,4
[250,20] Rep: 2;0,4
[250,20] Rep: 3;0,4
[250,30] Rep: 1;0,433333333333333
[250,30] Rep: 2;0,433333333333333
[250,30] Rep: 3;0,433333333333333
[200,10] Rep: 1;0,4
[200,10] Rep: 2;0,4
[200,10] Rep: 3;0,4
[200,20] Rep: 1;0,3
[200,20] Rep: 2;0,3
[200,20] Rep: 3;0,3
[200,30] Rep: 1;0,3
[200,30] Rep: 2;0,3
[200,30] Rep: 3;0,3
[150,10] Rep: 1;0
[150,10] Rep: 2;0
[150,10] Rep: 3;0
[150,20] Rep: 1;0
[150,20] Rep: 2;0
[150,20] Rep: 3;0
[150,30] Rep: 1;0
[150,30] Rep: 2;0
[150,30] Rep: 3;0
